rank;points;player
618;43;Jurabek Karimov
619;43;Xin Gao
620;43;Alexander Zhurbin
621;43;Gregoire Barrere
622;42;Alejandro Gomez
623;42;Rafael Matos
624;41;Emilio Gomez
625;41;Christopher Diaz Figueroa
626;40;Zsombor Piros
627;40;Benjamin Hassan
628;40;Manuel Sanchez
629;40;Caio Zampieri
630;40;Ronald Slobodchikov
631;40;Roberto Marcora
632;40;Laslo Urrutia Fuentes
633;40;Vasile Antonescu
634;40;Dekel Bar
635;39;George Von Massow
636;39;Francesco Vilardo
637;38;Thiago Seyboth Wild
638;38;Hugo Nys
639;38;Matthias Haim
640;38;Franco Emanuel Egea
641;38;Peter Bothwell
642;38;Ilya Vasilyev
643;37;Eduardo Struvay
644;37;Jonas Luetjen
645;37;Nathan Pasha
646;37;Fernando Romboli
647;37;Jonathan Gray
648;37;Marek Gengel
649;36;Bastian Malla
650;36;Dante Gennaro
651;36;Paul Woerner
652;36;Alexander Igoshin
653;36;Billy Harris
654;36;Olexiy Kolisnyk
655;35;Yuki Mochizuki
656;35;Kristijan Mesaros
657;35;Cheng Yu Yu
658;35;Walter Trusendi
659;35;Milan Drinic
660;35;Javier Barranco Cosano
661;34;Jeffrey John Wolf
662;34;Gustav Hansson
663;34;Young Seok Kim
664;34;Juan Manuel Benitez Chavarriaga
665;34;Andre Gaspar Murta
666;34;Louis Wessels
667;34;Cristobal Saavedra Corvalan
668;34;Haadin Salim Bava
669;34;Alejandro Tabilo
670;34;Yanais Laurent
671;34;Anis Ghorbel
672;33;Patrick Kypson
673;33;Blake Ellis
674;33;Miliaan Niesten
675;33;Marat Deviatiarov
676;33;Raphael Baltensperger
677;33;Florent Diep
678;33;Shane Vinsant
679;33;Markos Kalovelonis
680;32;Fabiano De Paula
681;32;Marvin Moeller
682;32;Borna Gojo
683;32;Jaroslav Pospisil
684;32;Ryan James Storrie
685;32;Yuya Kibi
686;32;Anil Yuksel
687;32;Filippo Leonardi
688;32;David Jorda Sanchis
689;32;David Poljak
690;31;Henry Craig
691;31;Richard Gabb
692;31;Fred Simonsson
693;31;Riccardo Balzerani
694;31;Aryan Goveas
695;31;Wilson Leite
696;31;Lukas Ollert
697;30;Oliver Golding
698;30;Wil Spencer
699;30;Juan Lizariturry
700;30;Daniiar Duldaev
701;30;Marcelo Zormann
702;30;Antonio Massara
703;30;Antoine Bellier
704;30;Jaume Pla Malfeito
705;29;Harri Heliovaara
706;29;Marcel Felder
707;29;Alexei Popyrin
708;29;Frederik Nielsen
709;29;Gian Marco Moroni
710;29;Claudio Fortuna
711;29;Roman Khassanov
712;29;Kristian Lozan
713;29;Dominik Boehler
713;29;Nerman Fatic
715;29;Christian Hirschmueller
716;29;Neil Pauffley
717;29;Yurii Dzhavakian
718;29;Erik Crepaldi
719;28;Ruan Roelofse
720;28;Martin Redlicki
721;28;Amine Ahouda
722;28;Marcelo Tomas Barrios Vera
723;28;Alexandar Lazarov
724;28;Adam El Mihdawy
725;28;Julian Ocleppo
726;28;Michal Dembek
727;28;Hunter Callahan
728;28;Masato Shiga
729;28;Christoph Negritu
730;27;Karue Sell
731;27;Reda El Amrani
732;27;Mikael Torpegaard
733;27;Luca Margaroli
734;27;Michiel De Krom
735;27;Jumpei Yamasaki
736;27;Jacopo Stefanini
737;27;Manuel Guinard
738;27;Volodoymyr Uzhylovskyi
739;26;Benjamin Mitchell
740;26;Carlos Salamanca
741;26;Or Ram Harel
742;26;Adam Chadaj
743;26;Vitaly Kozyukov
744;26;Jea Moon Lee
745;26;Philip Bester
746;26;Artur Shakhnubaryan
747;26;Jordan Correia
748;26;Marc Andrea Huesler
749;26;Kirill Kivattsev
750;26;Cameron Silverman
751;26;Santiago Fa Rodriguez Taverna
752;26;Jorge Montero
753;26;Issam Haitham Taweel
754;25;Andre Begemann
755;25;Stephan Fransen
756;25;Aslan Karatsev
757;25;Kaito Uesugi
758;25;Arjun Kadhe
759;25;Jaime Fermosell Delgado
760;24;Pere Riba
761;24;Collin Altamirano
762;24;Tae Woo Lee
763;24;Carl Soderlund
764;24;Anton Zaitcev
765;24;Mauricio Echazu
766;24;Kevin Griekspoor
767;24;Petru Alexandru Luncanu
768;24;Giovanni Fonio
769;24;Vadym Ursu
770;24;Ken Onishi
771;24;Omar Salman
772;24;Juan Carlos Saez
773;23;Jose Pereira
774;23;Pruchya Isaro
775;23;Sam Riffice
776;23;Seong Chan Hong
777;23;Julien Dubail
778;23;Shalva Dzhanashia
779;23;Maciej Smola
780;23;Mikhail Fufygin
781;23;Denis Matsukevich
782;23;Igor Marcondes
783;23;Oleg Khotkov
784;22;Patrik Rikl
785;22;Yshai Oliel
786;22;Jeremy Beale
787;22;Timur Khabibulin
788;22;Camilo Ugo Carabelli
789;22;Julian Onken
790;22;Viktor Filipenko
791;22;Duje Kekez
792;22;Domagoj Biljesko
793;22;Sebastien Boltz
794;21;Yusuke Watanuki
795;21;Aziz Dougaz
796;21;Sebastian Prechtel
797;21;Bogdan Borza
798;21;Dominik Kellovsky
799;21;Bernardo Saraiva
800;21;Gonzalo Villanueva
801;21;Jose Fco. Vidal Azorin
802;20;Giovanni Lapentti
803;20;Nikola Mektic
804;20;Felipe Martinez Sarrasague
805;20;Christopher Rungkat
806;20;Antal Van Der Duim
807;20;Alvaro Lopez San Martin
808;20;Zihao Xia
809;20;Alexander Erler
810;20;Benjamin Sigouin
811;20;Petr Nouza
812;20;Patrik Brydolf
813;20;Timur Kiyamov
814;20;Manuel Pena Lopez
815;20;Ryusei Makiguchi
816;20;Rigele Te
817;20;Gabriel Petit
818;20;Dejan Katic
819;20;Ricardo Rodriguez   Pace
820;20;Nicola Ghedin
821;20;Bogdan Bobrov
822;20;Nicolo Turchetti
823;20;Florian Fallert
824;20;Mikhail Korovin
825;20;Sergio Martos Gornes
826;20;Raleigh Smith
827;20;Nuno Deus
828;19;Ryan Haviland
829;19;Min Kyu Song
830;19;Tal Goldengoren
831;19;Nik Razborsek
832;19;Tom Kocevar Desman
833;19;Daniel Appelgren
833;19;Germain Gigounon
835;19;Rrezart Cungu
836;19;Lucas Gomez
837;19;Jake Delaney
838;19;Jaime Pulgar Garcia
839;19;Alessandro Luisi
840;19;Ricardo Hocevar
841;18;Mikhail Elgin
842;18;Tristan Meraut
842;18;James Ward
844;18;Jimmy Wang
845;18;Victor Baluda
846;18;Sebastian Korda
847;18;Evan Zhu
848;18;Mate Valkusz
849;18;Bastian Trinker
850;18;Piotr Matuszewski
851;18;Denis Klok
852;18;Thomas Fancutt
852;18;Luca Gelhardt
854;18;Albert Alcaraz Ivorra
855;18;Ryota Tanuma
856;18;Muhammet Haylaz
857;18;Caio Silva
858;17;Isak Arvidsson
859;17;Jonny O'mara
860;17;Luis Patino
861;17;Tak Khunn Wang
862;17;Marcin Gawron
863;17;Pierre Faivre
864;17;Maxim Ratniuk
865;17;Matej Sabanov
866;17;Thomas Setodji
867;17;Maxime Pauwels
868;17;Soichiro Moritani
869;17;Fran Zvonimir Zgombic
870;17;Jui Chen Hung
871;16;Emil Reinberg
872;16;David Souto
873;16;Artem Dubrivnyy
873;16;Adrian Obert
875;16;Yuta Shimizu
876;16;Sho Shimabukuro
877;16;Maxime Tchoutakian
878;16;James Marsalek
879;16;Andre Miele
880;16;Javier Pulgar Garcia
881;16;Connor Farren
882;16;Cing Yang Meng
883;16;Sarp Agabigun
884;16;Louis Chaix
885;16;Sem Verbeek
886;16;Francesco Ferrari
887;16;Daniel Nolan
888;16;Adrian Andrzejczuk
889;16;Alberto Romero De Avila Senise
890;15;Skander Mansouri
891;15;Strong Kirchheimer
892;15;Bogdan Ionut Apostol
893;15;Francis Casey Alcantara
894;15;Matej Vocel
895;15;Juan Ignacio Ameal
896;15;Johannes Haerteis
897;15;Yuichi Ito
898;15;Francisco Cabral
899;15;James Frawley
900;15;Winston Lin
901;14;Seong Gook Oh
902;14;Harrison Adams
903;14;Brandon Holt
904;14;Tom Fawcett
905;14;Mikelis Libietis
906;14;Mazen Osama
907;14;Luke Johnson
908;14;Lukas Ruepke
909;14;Wilfredo Gonzalez
910;14;Peter Heller
911;14;Sherif Sabry
912;14;Hong Kit Wong
913;14;Vladimir Polyakov
914;14;Jose Olivares
915;14;Peter Goldsteiner
916;14;Oleksandr Bielinskyi
917;14;Gabor Borsos
918;14;Michal Schmid
919;14;Alon Elia
920;14;Francois Arthur Vibert
921;13;Ryan Nijboer
922;13;Laurent Rochette
923;13;Alexis Gautier
924;13;Luca Giacomini
925;13;Romain Jouan
926;13;Scott Puodziunas
927;13;Simon Carr
928;13;John Mcnally
929;13;Karl Friberg
930;13;Clement Larriere
931;13;Facundo Juarez
932;13;Sergey Betov
933;13;Chan Yeong Oh
934;13;Filip Duda
935;13;Dane Propoggia
936;13;Pavel Krainik
937;13;Dragos Nicolae Madaras
938;13;Johan Nikles
939;13;John Lamble
940;13;Thales Turini
941;12;Mate Pavic
942;12;Jeffrey Schorsch
943;12;Fernando Bogajo
944;12;Soren Hess Olesen
945;12;Kirill Dmitriev
946;12;Lennert Van Der Linden
947;12;Ryan Peniston
948;12;Vitaliy Sachko
949;12;Dmitry Mnushkin
950;12;Mirko Cutuli
951;12;Gabriel Donev
951;12;Chien Hsun Lo
953;12;Aron Hiltzik
954;12;Eric Johnson
955;12;Marc Fornell Mestres
956;12;Felipe Meligeni Rodrigues Alves
957;12;Federico Moreno
958;12;Tim Van Terheijden
959;12;Loic Perret
960;12;Mircea Alexandru Jecan
961;12;Ivan Davydov
962;11;Julian Cash
962;11;Takao Suzuki
964;11;Logan Smith
965;11;Jae Hwan Kim
966;11;Finn Bass
